,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.09901704741878095,0.00034056636493924597,0.020352325675156713,0.002597829985040523,0.011346935180674637,0.6439152918639155,1.379804976329679,0.04732931083181159,0.024602356580256106,0.007231265052571229,0.003058426442495917,0.006945554773558659,0.005501630486351502,0.23596919969079022,3.192949169676361,0.07613279136499286,0.07991749789402987,,9.422797219770061
PIGEON LAKE,0.034392577910438496,0.005796014132029258,0.04396206013643374,0.0033642591924794817,0.007673303100736512,1.4076614290467688,1.7097129269088647,0.0632146055116947,0.03469574663518983,0.003782223419336729,0.007410705913363165,0.005771718603405319,0.006024398730796067,0.20030052038980042,3.1351459055127506,0.49410781934902664,0.11056107201904948,,8.800768825170175
PIGEON LAKE,0.010243485229784029,0.0253231333181227,0.06703851675458478,0.009731305260031794,0.00367410061651348,1.6876786171478622,1.3280647582662055,0.08966481155419756,0.013613909931575963,0.004073233016754616,0.009439720106107016,0.007982451927250486,0.008794796895893927,0.16645778995477492,3.37057139841821,0.13920395580688896,0.06760466854191716,,9.904905570905823
PIGEON LAKE,0.09314718062668369,0.0597067967501154,0.09376404048866711,0.005232412309921477,0.009903057861638922,1.6803274950136633,0.9451181611420891,0.02947887092551164,0.09361768573974069,0.008415790315892593,0.0027537049776047776,0.004387221145416408,0.006486388781700163,0.047865209563748526,3.4316030053504485,0.0812494757989088,0.06770796210702988,,10.145851578145408
PIGEON LAKE,0.022085873896917897,0.005641908680629637,0.05943734388675324,0.002176738148000879,0.007462287906119636,1.594462695202805,0.8108179481664197,0.011487101684644917,0.03563654416483844,0.0020195090933845645,0.0029649207305862987,0.008216310694339441,0.008220510393934937,0.030001460015814038,3.4191419804941314,0.26576612413330647,0.053419150919052374,,9.938240666430035
PIGEON LAKE,0.03027509972586517,0.05854544331923411,0.054237535818715155,0.00478963659662293,0.006482913762389938,0.8502085016774923,1.985444076967699,0.07237087207449784,0.09993017852697023,0.009160659783893266,0.006697709589403172,0.009501535479790268,0.009847341962676129,0.14485681056065386,3.296894258569351,0.13887908615425595,0.07355963447235389,,9.678244055081443
PIGEON LAKE,0.002845933078577806,0.04207506620707059,0.04771488893607661,0.006209964789803659,0.009228014508349078,0.5673483478638983,0.5332594970676091,0.07715589447812635,0.0045791054818852955,0.004265109897265236,0.008820174235212367,0.0011329447776034863,0.00647885785847437,0.07241355130135192,3.6966189161838248,0.02403860518964696,0.12263009458661792,,10.943188048775209
PIGEON LAKE,0.013075304203457164,0.08705654242111777,0.012109715447384796,0.006317733507808745,0.004757742656995708,0.672836102001326,1.4126190664359135,0.036228699130235645,0.07661128166747111,0.0027604208615298687,0.005191140643118159,0.004627837181036084,0.004191799633523375,0.17155078904575669,3.495548949356177,0.013187641085264226,0.10129279329607929,,10.372166413687188
PIGEON LAKE,0.04776837648178225,0.05496063482955363,0.045794726721840276,0.008845946292458351,0.0052348502447129444,1.5434511769414865,1.683646466633073,0.06099700318461573,0.06828285053895314,0.0033547868618688734,0.005627734276807456,0.007812782626126238,0.004639770407139929,0.08864431497779238,3.270381262329352,0.23808873857640003,0.07670720363517959,,9.496347844776476
PIGEON LAKE,0.08299821774821473,0.07307804508317112,0.04918327881931131,0.009360528410619844,0.012968984488669406,1.4258783451641308,0.8888899091986522,0.04079943995036403,0.043910069093385226,0.005933381042106927,0.007905703256722178,0.0016802564566620304,0.004385076086257305,0.17623816031610057,3.280437570939586,0.06801337028635195,0.07717015390502417,,9.696129188627381
PIGEON LAKE,0.09441932856061185,0.047793113822913375,0.050729282989681594,0.00498343459304048,0.012864263764518189,0.9451876402332098,1.9931599134581326,0.08361970357158063,0.05392154451303118,0.0015540606268628103,0.006843825466480685,0.00793314805735094,0.0059987869812143145,0.1771071125548928,3.242364479585539,0.08561015066561685,0.07544201844221186,,9.566041269648789
PIGEON LAKE,0.003126953073431707,0.020432253789278595,0.08536093275152282,0.0032083528895362227,0.010351164215524343,1.9347663291222954,0.7439453907549123,0.09824828114359624,0.0911787929273998,0.008122439736096715,0.004244497774082404,0.0010226669251322661,0.006969902412038098,0.10254097555467,3.6074062384404364,0.013705195836180647,0.0946227163342416,,10.713890803150887
PIGEON LAKE,0.05928265644340295,0.07786588876685104,0.09959698406798698,0.009494744741824762,0.007486426789221409,1.011979579600796,1.5225676363738654,0.03832002258025721,0.07837311832543589,0.00570218112143768,0.008380650681967522,0.002243372980981327,0.004905989104808497,0.2128067332673646,3.265246933219689,0.14588202533315683,0.07377256273932643,,9.576086211586583
PIGEON LAKE,0.049774563823247846,0.052715136077588515,0.013349192679307953,0.006752500068343308,0.012151026438946631,0.5494949728398301,1.8690961320252903,0.055187443637141315,0.02729542375214084,0.0018549708066749574,0.0012066139955649105,0.0060171398428100955,0.006635309245205455,0.10778987605564885,3.2752473180849138,0.06786575352138349,0.07756334039139626,,9.680312860341962
PIGEON LAKE,0.016523607171535594,0.02630709022829529,0.007458608668142908,0.0016949503290191515,0.007754075419400005,0.8466923071505885,1.1840585333175915,0.013411639617876933,0.056893545452212944,0.0054350053856359005,0.001694605860376047,0.006779828545339975,0.0026981412002722908,0.1934338403668488,3.251067674529778,0.15604327754635608,0.0740890116645297,,9.523070734378448
